City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Ciudad Bolivar,VE,8.1222,-63.5497,73.94,89,74,6.11,broken clouds
335,Pochutla,MX,15.7432,-96.4661,70.0,85,0,3.11,clear sky
336,Nabire,ID,-3.3667,135.4833,78.12,85,100,1.81,overcast clouds
337,Forrest City,US,35.0081,-90.7898,36.0,80,1,7.67,clear sky
338,Sakakah,SA,29.9697,40.2064,62.6,27,0,11.41,clear sky
339,Ambilobe,MG,-13.2,49.05,84.27,71,24,7.14,light rain
340,Moshkovo,RU,55.3053,83.6104,-4.0,64,0,6.71,clear sky
341,Varhaug,NO,58.6147,5.6457,25.0,92,0,4.45,clear sky
342,Dabat,ET,12.9842,37.765,70.84,24,0,6.98,clear sky
343,Sinjar,IQ,36.3209,41.8754,56.57,37,0,1.52,clear sky
